NOTA_TGS;NOTA_PROG_AVANZADA;NOTA_FISICA_DOS;NOTA_MULTIVARIADO;NOTA_SEGUNDA_LENGUA_DOS;VECES_FISICA_DOS;NOTA_EE_DOS;VECES_PROG_AVANZADA;NAA_DOS;VECES_TGS;NCA_DOS;VECES_MULTIVARIADO;NOTA_ECUACIONES;NOTA_DIFERENCIAL;NAC_DOS;NCP_DOS;VECES_SEGUNDA_LENGUA_DOS;VECES_EE_DOS;VECES_ECUACIONES;PG_ICFES;NOTA_TEXTOS;CAR_DOS;NCC_DOS;NAP_DOS;NAP_UNO;NOTA_SEMINARIO;VECES_LOGICA;VECES_EE_UNO;NAA_UNO;VECES_DIFERENCIAL;VECES_CATEDRA_DEM;NCA_UNO;NOTA_CATEDRA_CON;NCC_UNO;NOTA_EE_UNO;NAC_UNO;NOTA_CATEDRA_DEM;NOTA_LOGICA;CAR_UNO;NOTA_PROG_BASICA;EPA_DOS;IDIOMA_ICFES;CON_MAT_ICFES;CREDITOS_EE_DOS;CREDITOS_ECUACIONES;CREDITOS_MULTIVARIADO;CREDITOS_TGS;CREDITOS_SEGUNDA_LENGUA_DOS;CREDITOS_FISICA_DOS;PROMEDIO_UNO;PROMEDIO_DOS;CREDITOS_PROG_AVANZADA;RENDIMIENTO_TRES;PROMEDIO_TRES
27.5;41.0;30.0;40.0;38.0;2;44;1;6;2;13.0;1;29.0;23.33333333;8;6.0;1;1;2;446.86;40.0;2;19.0;2;1;50.0;1;1;8;3;1;14.0;43.0;18.0;39.0;9;50.0;35.0;1;40.0;2;44.34;66.94;2;3;3;2;2;3;36.90740740666667;34.86842105263158;3;2.0;35.5
27.5;43.0;28.5;34.0;36.0;2;40;1;6;2;13.0;1;27.5;21.66666667;8;6.0;1;1;2;431.06;40.0;2;19.0;2;1;45.0;1;1;8;3;1;14.0;39.0;18.0;39.0;9;50.0;30.0;1;40.0;2;45.94;67.13;2;3;3;2;2;3;34.925925926666665;35.315789474210526;3;2.0;33.666666666666664
30.0;40.0;31.5;36.0;33.0;2;46;1;8;1;19.0;1;39.0;21.66666667;8;0.0;1;1;1;434.39;30.0;1;19.0;0;1;45.0;1;1;8;3;1;14.0;41.0;18.0;45.0;9;45.0;30.0;1;30.0;2;44.71;67.13;2;3;3;2;2;3;32.648148148888886;35.05263157842105;3;2.0;36.52777777777778
35.0;39.0;29.5;40.0;44.0;2;40;1;7;1;16.0;1;30.0;27.5;8;3.0;1;1;1;463.92;40.0;1;19.0;1;1;40.0;1;1;8;2;1;14.0;44.0;18.0;33.0;9;45.0;35.0;1;35.0;2;64.23;62.82;2;3;3;2;2;3;35.27777777777778;35.26315789473684;3;2.0;36.30555555555556
38.0;39.0;34.0;30.0;41.0;1;43;1;7;1;16.0;1;33.0;22.5;8;3.0;1;1;1;450.31;40.0;2;19.0;1;1;40.0;2;1;8;2;1;14.0;33.0;18.0;42.0;9;35.0;35.0;3;35.0;2;48.4;67.01;2;3;3;2;2;3;33.72222222222222;34.23684210526316;3;2.0;36.22222222222222
39.0;47.0;29.0;25.0;42.0;2;38;1;5;1;11.0;2;31.0;25.0;8;8.0;1;1;1;439.7;45.0;3;19.0;3;2;50.0;1;1;7;2;1;11.0;41.0;18.0;35.0;9;50.0;30.0;2;27.5;1;48.65;63.86;2;3;3;2;2;3;34.083333333333336;33.10526315789474;3;2.0;35.22222222222222
30.0;30.0;30.0;32.5;40.0;1;40;1;8;1;19.0;2;42.0;27.5;8;0.0;1;1;1;461.3;40.0;0;19.0;0;2;45.0;1;1;7;2;1;12.0;40.0;18.0;15.0;9;50.0;30.0;1;30.0;2;74.73;67.01;2;3;3;2;2;3;32.22222222222222;41.10526315789474;3;2.0;34.638888888888886
40.0;40.0;38.0;25.5;43.0;1;40;1;8;1;19.0;2;40.0;30.0;8;0.0;1;1;1;493.32;45.0;0;19.0;0;0;30.0;1;1;9;1;1;18.0;42.0;18.0;31.0;9;45.0;35.0;1;40.0;2;74.73;77.58;2;3;3;2;2;3;36.333333333333336;35.473684210526315;3;2.0;37.583333333333336
32.0;40.0;0.0;22.66666667;0.0;0;0;1;4;1;11.0;3;30.0;30.0;7;6.0;0;0;1;430.63;35.0;3;17.0;3;0;35.0;2;0;8;1;1;16.0;39.0;16.0;0.0;8;40.0;30.0;1;35.0;1;53.98;63.08;2;3;3;2;2;3;33.6875;31.5;3;2.0;31.090909091818183
45.0;0.0;0.0;0.0;39.0;0;0;0;3;1;7.0;0;0.0;20.25;5;4.0;1;0;0;454.54;40.0;0;11.0;2;1;40.0;2;1;7;4;1;13.0;0.0;17.0;45.0;8;50.0;32.5;3;30.0;2;47.17;61.49;2;3;3;2;2;3;33.14705882352941;30.636363636363637;3;3.0;42.0
43.0;40.0;36.0;31.0;40.0;1;44;1;5;1;10.0;1;23.0;30.0;8;9.0;1;1;2;454.2;35.0;3;19.0;3;0;50.0;1;1;9;2;1;18.0;44.0;18.0;40.0;9;45.0;30.0;1;40.0;1;46.92;66.83;2;3;3;2;2;3;36.888888888888886;33.9078947368421;3;2.0;35.77777777777778
36.0;11.5;11.0;0.0;0.0;1;20;2;2;1;4.0;0;0.0;25.0;7;13.0;0;1;0;448.54;30.0;4;17.0;5;4;22.5;2;1;4;3;2;9.0;0.0;17.0;15.0;8;25.0;30.0;5;32.5;1;74.73;64.16;2;3;3;2;2;3;27.058823529411764;23.647058822941176;3;1.0;17.95
0.0;0.0;0.0;0.0;0.0;0;25;0;0;0;0.0;0;0.0;17.5;0;0.0;0;1;0;453.56;35.0;0;0.0;0;4;25.0;2;1;4;2;1;7.0;0.0;17.0;25.0;8;30.0;20.0;3;30.0;1;45.94;73.57;2;3;3;2;2;3;25.294117647058822;0.0;3;1.0;25.0
0.0;0.0;0.0;0.0;0.0;0;40;0;0;0;0.0;0;0.0;40.0;0;0.0;0;1;0;453.34;45.0;0;0.0;0;1;40.0;1;1;7;1;1;16.0;0.0;17.0;30.0;8;20.0;35.0;0;40.0;1;58.06;67.01;2;3;3;2;2;3;37.35294117647059;0.0;3;2.0;40.0
40.0;35.0;30.0;26.33333333;0.0;1;35;1;4;1;11.0;3;22.5;30.0;6;4.0;0;1;2;472.6;35.0;2;15.0;2;0;40.0;1;1;9;1;1;18.0;33.0;18.0;30.0;9;45.0;35.0;0;35.0;2;77.14;70.11;2;3;3;2;2;3;34.05555555555556;33.166666666666664;3;2.0;30.718749999375
35.0;40.0;32.5;29.0;39.0;2;45;1;5;1;10.0;2;38.0;30.0;8;9.0;1;1;1;477.24;40.0;3;19.0;3;1;40.0;2;1;8;2;1;15.0;43.0;18.0;39.0;9;45.0;27.5;2;35.0;1;72.32;53.95;2;3;3;2;2;3;35.47222222222222;31.710526315789473;3;2.0;36.47222222222222
30.0;39.0;41.0;26.0;44.0;1;41;1;6;1;13.0;2;27.5;30.0;8;6.0;1;1;2;426.06;40.0;2;19.0;2;0;40.0;2;1;9;1;1;18.0;39.0;18.0;40.0;9;45.0;32.5;1;40.0;2;45.94;67.01;2;3;3;2;2;3;36.75;34.5;3;2.0;35.02777777777778
0.0;0.0;0.0;0.0;0.0;0;45;0;1;0;2.0;0;0.0;30.0;5;12.0;0;1;0;461.46;30.0;0;14.0;4;1;15.0;1;1;7;1;1;16.0;0.0;17.0;45.0;8;45.0;35.0;1;35.0;1;62.81;67.77;2;3;3;2;2;3;34.11764705882353;17.857142857142858;3;3.0;45.0
19.0;0.0;0.0;0.0;0.0;0;0;0;1;2;2.0;0;0.0;21.66666667;2;3.0;0;0;0;454.46;30.0;1;5.0;1;3;25.0;3;0;4;3;1;7.0;0.0;15.0;0.0;7;30.0;20.0;3;35.0;1;39.05;67.13;2;3;3;2;2;3;27.444444445333332;23.400000002000002;3;1.0;19.0
30.0;40.0;43.0;40.0;42.0;1;45;1;6;1;13.0;1;30.0;30.0;8;6.0;1;1;1;461.09;35.0;2;19.0;2;0;35.0;1;1;9;1;1;18.0;47.0;18.0;32.0;9;40.0;30.0;0;30.0;2;44.71;73.57;2;3;3;2;2;3;33.388888888888886;34.63157894736842;3;2.0;38.5
35.0;50.0;8.0;13.33333333;0.0;1;0;1;3;1;9.0;3;0.0;25.0;5;5.0;0;0;0;459.64;40.0;2;14.0;2;2;35.0;1;0;6;2;1;11.0;27.5;16.0;0.0;8;40.0;35.0;2;45.0;2;62.69;64.16;2;3;3;2;2;3;35.15625;31.25;3;1.0;25.818181817272727
0.0;0.0;0.0;0.0;0.0;0;15;0;0;0;0.0;0;0.0;27.5;0;0.0;0;1;0;460.74;30.0;0;0.0;0;4;15.0;2;1;4;2;1;7.0;0.0;17.0;15.0;8;35.0;27.5;3;30.0;1;53.32;56.43;2;3;3;2;2;3;26.91176470588235;0.0;3;1.0;15.0
0.0;0.0;0.0;0.0;0.0;0;15;0;0;0;0.0;0;0.0;15.0;0;0.0;0;1;0;451.95;30.0;0;0.0;0;6;15.0;1;1;2;1;1;3.0;0.0;17.0;15.0;8;25.0;20.0;0;15.0;1;61.22;82.69;2;3;3;2;2;3;19.11764705882353;0.0;3;1.0;15.0
28.5;40.0;0.0;0.0;0.0;0;40;1;3;2;8.0;1;0.0;30.0;6;8.0;0;1;0;433.58;30.0;4;16.0;3;2;25.0;1;1;6;2;1;14.0;0.0;17.0;20.0;8;45.0;30.0;2;40.0;1;50.86;67.01;2;3;3;2;2;3;31.470588235294116;28.781250000625;3;1.0;25.7
30.0;39.0;30.5;35.0;38.0;2;37;1;6;1;13.0;1;30.0;30.0;8;6.0;1;1;1;466.96;40.0;2;19.0;2;0;30.0;1;1;9;1;1;18.0;41.0;18.0;36.0;9;45.0;35.0;0;35.0;2;83.41;61.26;2;3;3;2;2;3;35.72222222222222;37.10526315736842;3;2.0;34.083333333333336
30.0;15.5;7.0;0.0;0.0;1;25;2;3;1;8.0;0;0.0;30.0;5;6.0;0;1;0;476.22;35.0;2;14.0;2;1;30.0;1;1;7;1;1;15.0;0.0;17.0;15.0;8;50.0;35.0;0;40.0;1;43.48;82.45;2;3;3;2;2;3;33.23529411764706;29.249999999285713;3;1.0;17.75
35.0;30.0;30.0;22.5;39.0;1;40;1;5;1;10.0;2;33.0;25.0;8;9.0;1;1;1;465.49;40.0;3;19.0;3;1;45.0;2;1;8;2;1;14.0;39.0;18.0;38.0;9;40.0;30.0;2;35.0;1;77.14;58.94;2;3;3;2;2;3;34.166666666666664;32.86842105368421;3;2.0;31.916666666666668
35.0;0.0;0.0;0.0;0.0;0;0;0;4;1;11.0;0;0.0;26.66666667;5;3.0;0;0;0;408.58;35.0;1;14.0;1;3;25.0;2;1;5;3;1;9.0;0.0;17.0;50.0;8;35.0;35.0;4;25.0;2;53.32;56.59;2;3;3;2;2;3;32.15686274588235;31.892857142857142;3;2.0;35.0
35.0;29.5;15.33333333;11.5;0.0;3;43;2;4;1;10.0;2;0.0;25.0;6;6.0;0;1;0;476.62;40.0;3;16.0;2;2;25.0;1;1;7;2;1;13.0;34.0;18.0;33.0;9;40.0;45.0;2;45.0;2;65.1;70.26;2;3;3;2;2;3;36.388888888888886;31.031250000625;3;1.0;24.99999999923077
42.0;39.0;29.0;0.0;45.0;2;0;1;3;1;7.0;0;0.0;28.33333333;6;9.0;1;0;0;450.64;40.0;3;16.0;3;1;40.0;1;1;7;3;1;13.0;0.0;17.0;30.0;8;45.0;35.0;1;35.0;1;45.31;55.73;2;3;3;2;2;3;34.90196078352942;29.28125;3;2.0;37.8
0.0;0.0;0.0;0.0;0.0;0;50;0;0;0;0.0;0;0.0;22.5;5;14.0;0;1;0;369.34;40.0;0;14.0;5;2;50.0;2;1;6;2;1;10.0;0.0;17.0;30.0;8;40.0;32.5;3;22.5;1;56.48;41.23;2;3;3;2;2;3;30.88235294117647;16.428571428571427;3;4.0;50.0
40.0;40.0;35.0;30.0;47.0;1;46;1;8;1;19.0;1;30.0;35.0;8;0.0;1;1;1;425.79;40.0;0;19.0;0;0;50.0;1;1;9;1;1;18.0;44.0;18.0;45.0;9;50.0;40.0;0;45.0;2;65.1;73.57;2;3;3;2;2;3;41.611111111111114;38.526315789473685;3;2.0;37.27777777777778
0.0;0.0;0.0;0.0;0.0;0;15;0;0;0;0.0;0;0.0;15.0;0;0.0;0;1;0;460.46;20.0;0;0.0;0;6;15.0;2;1;2;2;1;2.0;0.0;17.0;15.0;8;45.0;20.0;5;15.0;1;50.86;64.24;2;3;3;2;2;3;19.41176470588235;0.0;3;1.0;15.0
0.0;0.0;0.0;0.0;0.0;0;50;0;0;0;0.0;0;0.0;35.0;0;0.0;0;1;0;490.16;40.0;0;0.0;0;2;15.0;1;1;6;1;1;15.0;0.0;17.0;35.0;8;35.0;35.0;0;50.0;1;72.32;58.94;2;3;3;2;2;3;36.470588235294116;0.0;3;4.0;50.0
40.0;40.0;35.0;30.0;36.0;1;45;1;8;1;19.0;1;35.0;35.0;8;0.0;1;1;1;464.25;40.0;0;19.0;0;0;40.0;1;1;9;1;1;18.0;50.0;18.0;39.0;9;40.0;35.0;0;40.0;2;42.76;64.24;2;3;3;2;2;3;38.5;38.31578947368421;3;2.0;36.77777777777778
34.0;28.0;36.0;26.5;37.0;1;40;2;6;1;13.0;2;31.0;30.0;8;6.0;1;1;1;463.92;40.0;2;19.0;2;0;40.0;1;1;9;3;1;18.0;41.0;18.0;37.0;9;40.0;35.0;2;30.0;2;43.48;64.24;2;3;3;2;2;3;34.72222222222222;35.63157894736842;3;2.0;32.583333333333336
31.5;31.0;15.0;29.0;29.0;4;34;1;5;2;12.0;2;29.5;22.5;7;6.0;2;1;2;477.42;25.0;2;18.0;2;5;30.0;2;1;4;2;2;7.0;46.0;18.0;33.0;9;22.5;27.5;7;30.0;2;50.67;55.73;2;3;3;2;2;3;28.02777777777778;36.333333333333336;3;1.0;27.916666666666668
45.0;45.0;30.0;30.0;42.0;1;47;1;7;1;18.0;1;40.0;35.0;8;1.0;1;1;1;463.6;40.0;1;19.0;1;0;50.0;1;1;9;1;1;18.0;44.0;18.0;45.0;9;50.0;40.0;0;50.0;2;53.32;64.16;2;3;3;2;2;3;42.166666666666664;41.21052631578947;3;2.0;39.05555555555556
10.33333333;0.0;0.0;0.0;0.0;0;0;0;1;3;2.0;0;0.0;22.5;5;12.0;0;0;0;450.52;27.5;4;14.0;4;5;23.33333333;3;1;3;2;1;5.0;0.0;17.0;0.0;8;35.0;23.33333333;5;30.0;1;41.7;58.15;2;3;3;2;2;3;23.725490195294118;23.0;3;1.0;10.33333333
30.0;37.0;22.33333333;12.0;0.0;3;40;1;4;1;8.0;2;20.66666667;27.5;7;9.0;0;1;3;444.47;45.0;3;17.0;3;2;50.0;1;1;7;2;1;12.0;35.0;18.0;15.0;9;45.0;30.0;1;30.0;1;45.94;70.11;2;3;3;2;2;3;31.944444444444443;32.05882353;3;1.0;26.0
40.0;35.0;30.5;40.0;41.0;2;38;1;6;1;13.0;1;32.0;35.0;8;6.0;1;1;1;447.62;40.0;2;19.0;2;0;50.0;1;1;9;1;1;18.0;41.0;18.0;30.0;9;45.0;35.0;0;40.0;2;48.4;64.24;2;3;3;2;2;3;37.833333333333336;34.86842105263158;3;2.0;36.138888888888886
42.0;47.0;25.0;21.66666667;29.0;3;42;1;5;1;10.0;3;14.33333333;25.0;8;9.0;2;1;3;448.33;30.0;3;19.0;3;6;25.0;2;1;3;2;2;5.0;45.0;18.0;41.0;9;25.0;27.5;6;25.0;1;67.6;60.49;2;3;3;2;2;3;29.0;32.39473684157895;3;2.0;30.555555555555557
5.5;0.0;0.0;0.0;0.0;0;15;0;2;2;5.0;0;0.0;21.66666667;5;9.0;0;1;0;455.89;30.0;1;14.0;3;5;25.0;1;1;3;3;2;6.0;0.0;17.0;15.0;8;27.5;30.0;4;27.5;1;49.63;64.24;2;3;3;2;2;3;25.686274510588234;12.178571428571429;3;1.0;10.25
40.0;50.0;36.0;35.0;45.0;1;46;1;8;1;19.0;1;35.0;30.0;8;0.0;1;1;1;472.71;45.0;0;19.0;0;0;50.0;1;1;9;2;1;18.0;43.0;18.0;36.0;9;45.0;40.0;1;45.0;2;52.09;52.15;2;3;3;2;2;3;39.72222222222222;41.31578947368421;3;3.0;40.55555555555556
30.0;31.5;30.0;35.0;34.0;1;37;2;5;1;10.0;1;38.0;27.5;8;9.0;1;1;1;452.1;30.0;3;19.0;3;2;40.0;1;1;7;2;1;12.0;41.0;18.0;15.0;9;45.0;30.0;1;40.0;1;55.64;65.25;2;3;3;2;2;3;32.0;34.71052631578947;3;2.0;33.638888888888886
15.0;0.0;0.0;0.0;0.0;0;0;0;1;1;2.0;0;0.0;30.0;5;12.0;0;0;0;479.35;40.0;0;14.0;4;1;40.0;1;1;7;1;1;15.0;0.0;17.0;15.0;8;30.0;35.0;0;35.0;1;62.69;75.27;2;3;3;2;2;3;32.35294117647059;19.642857142857142;3;1.0;15.0
35.0;45.0;30.0;38.0;44.0;1;45;1;7;1;16.0;1;32.0;25.0;8;3.0;1;1;1;478.63;45.0;2;19.0;1;1;50.0;1;1;8;2;1;14.0;50.0;18.0;39.0;9;45.0;35.0;1;40.0;2;59.64;61.49;2;3;3;2;2;3;37.94444444444444;35.868421053157896;3;2.0;37.94444444444444
41.0;39.0;0.0;0.0;46.0;0;0;1;3;1;6.0;0;22.0;22.5;7;11.0;1;0;2;459.49;40.0;4;17.0;4;2;45.0;1;1;6;4;1;11.0;0.0;17.0;15.0;8;45.0;35.0;1;35.0;1;59.64;70.26;2;3;3;2;2;3;31.764705882352942;28.764705882941175;3;2.0;35.7
30.0;30.0;36.0;33.0;30.0;1;47;1;5;1;12.0;1;33.0;25.0;8;7.0;2;1;1;447.77;45.0;3;19.0;3;1;50.0;1;1;8;2;1;14.0;44.0;18.0;37.0;9;45.0;35.0;1;35.0;1;72.32;67.13;2;3;3;2;2;3;36.55555555555556;33.894736841052634;3;2.0;33.888888888888886
25.0;17.5;0.0;14.5;0.0;0;0;2;2;2;5.0;2;4.5;25.0;5;9.0;0;0;2;470.68;35.0;3;14.0;3;1;40.0;1;0;6;2;1;11.0;0.0;15.0;0.0;7;45.0;35.0;1;30.0;1;45.94;61.49;2;3;3;2;2;3;33.0;26.25357142857143;3;1.0;14.5
35.0;45.0;35.0;33.0;39.0;1;43;1;7;1;16.0;1;39.0;27.5;8;3.0;1;1;1;458.2;45.0;1;19.0;1;2;50.0;1;1;7;2;1;12.0;50.0;18.0;15.0;9;45.0;35.0;1;40.0;2;54.9;67.13;2;3;3;2;2;3;35.833333333333336;36.71052631578947;3;2.0;38.333333333333336
30.0;35.0;35.0;27.66666667;41.0;1;42;1;8;1;19.0;3;40.0;30.0;8;0.0;1;1;1;453.69;40.0;0;19.0;0;0;50.0;1;1;9;1;1;18.0;43.0;18.0;38.0;9;50.0;40.0;0;35.0;2;74.73;67.01;2;3;3;2;2;3;38.0;38.63157894736842;3;2.0;35.50000000055556
39.0;30.0;0.0;0.0;4.0;0;30;2;4;1;9.0;0;4.5;20.2;7;8.0;1;1;2;405.78;35.0;3;17.0;3;3;30.0;1;1;5;5;1;8.0;0.0;17.0;15.0;8;45.0;30.0;3;23.0;1;49.63;38.23;2;3;3;2;2;3;27.04705882352941;28.852941175882354;3;1.0;20.791666666666668
35.0;35.0;30.0;40.0;43.0;1;44;1;6;1;15.0;1;32.0;25.0;8;4.0;1;1;1;434.22;45.0;2;19.0;2;1;45.0;1;1;8;2;1;14.0;37.0;18.0;43.0;9;50.0;35.0;1;45.0;2;53.32;70.26;2;3;3;2;2;3;38.22222222222222;35.526315789473685;3;2.0;36.388888888888886
35.0;35.0;31.0;30.0;43.0;2;46;1;8;1;19.0;2;26.5;22.5;8;0.0;1;1;2;436.23;40.0;0;19.0;0;1;50.0;1;1;8;2;1;14.0;44.0;18.0;42.0;9;45.0;35.0;1;45.0;2;55.84;42.39;2;3;3;2;2;3;37.388888888888886;39.36842105263158;3;2.0;34.19444444444444
12.8;0.0;9.5;0.0;0.0;2;0;0;2;5;5.0;0;0.0;23.33333333;6;11.0;0;0;0;460.27;35.0;3;16.0;4;1;40.0;1;0;6;3;1;11.0;0.0;15.0;0.0;7;30.0;35.0;2;40.0;1;50.86;64.24;2;3;3;2;2;3;33.05555555466667;17.275;3;1.0;10.82
35.0;45.0;30.0;30.0;41.0;1;37;1;8;1;19.0;1;29.0;27.5;8;0.0;1;1;2;440.11;40.0;0;19.0;0;2;50.0;1;1;7;2;1;12.0;44.0;18.0;15.0;9;45.0;30.0;1;45.0;2;54.9;67.01;2;3;3;2;2;3;34.666666666666664;37.63157894736842;3;2.0;34.888888888888886
42.0;40.0;30.0;30.0;45.0;1;42;1;8;1;19.0;1;35.0;30.0;8;0.0;1;1;1;452.24;40.0;0;19.0;0;0;50.0;1;1;9;1;1;18.0;43.0;18.0;42.0;9;50.0;35.0;0;45.0;2;83.41;61.53;2;3;3;2;2;3;39.27777777777778;37.526315789473685;3;2.0;36.833333333333336
42.0;16.0;34.0;0.0;0.0;1;41;1;3;1;8.0;0;0.0;23.33333333;5;6.0;0;1;0;456.63;40.0;2;14.0;2;2;50.0;1;1;6;3;1;11.0;0.0;17.0;15.0;8;40.0;30.0;2;32.5;2;72.32;56.43;2;3;3;2;2;3;30.9313725482353;32.32142857142857;3;2.0;31.6
34.0;35.0;30.0;29.5;46.0;1;46;1;8;1;19.0;2;29.5;30.0;8;0.0;1;1;2;421.61;40.0;0;19.0;0;0;50.0;1;1;9;1;1;18.0;39.0;18.0;45.0;9;45.0;40.0;0;45.0;2;65.1;73.57;2;3;3;2;2;3;39.94444444444444;35.36842105263158;3;2.0;34.666666666666664
0.0;0.0;0.0;0.0;0.0;0;15;0;0;0;0.0;0;0.0;15.0;0;0.0;0;1;0;459.6;15.0;0;0.0;0;8;15.0;1;1;0;1;1;0.0;0.0;17.0;15.0;8;20.0;15.0;0;20.0;1;62.81;53.42;2;3;3;2;2;3;16.470588235294116;0.0;3;1.0;15.0
39.0;46.0;27.0;36.0;44.0;2;44;1;8;1;19.0;1;34.0;22.5;8;0.0;1;1;1;433.66;22.5;1;19.0;0;4;35.0;1;1;5;2;1;8.0;44.0;18.0;40.0;9;45.0;35.0;4;27.5;2;54.9;53.95;2;3;3;2;2;3;30.63888888888889;36.23684210526316;3;2.0;37.94444444444444
22.5;40.0;0.0;0.0;0.0;0;40;1;4;2;10.0;0;0.0;22.5;5;3.0;0;1;0;423.65;35.0;2;13.0;1;2;40.0;1;1;6;2;1;11.0;0.0;17.0;15.0;8;40.0;30.0;1;40.0;2;59.64;70.11;2;3;3;2;2;3;30.58823529411765;31.384615384615383;3;2.0;35.0
36.0;40.0;0.0;0.0;32.0;0;0;1;2;1;4.0;0;20.5;22.5;6;12.0;1;0;2;439.3;40.0;4;16.0;4;2;45.0;1;1;6;2;1;11.0;0.0;17.0;15.0;8;45.0;35.0;1;35.0;1;45.94;70.11;2;3;3;2;2;3;32.05882352941177;27.15625;3;2.0;31.75
